序号,节点ID,节点类型,文件名,状态,下载链接,镜像链接,搜索链接
14,50,FaceRestoreModelLoader,GFPGANv1.4.pth,已处理,https://huggingface.co/nlightcho/gfpgan_v14/resolve/main/GFPGANv1.4.pth,https://hf-mirror.com/nlightcho/gfpgan_v14/resolve/main/GFPGANv1.4.pth,
15,30,GroundingDinoModelLoader (segment anything),GroundingDINO_SwinT_OGC (694MB),已处理,https://huggingface.co/ShilongLiu/GroundingDINO/resolve/main/groundingdino_swint_ogc.pth,https://hf-mirror.com/ShilongLiu/GroundingDINO/resolve/main/groundingdino_swint_ogc.pth,
16,1,Note,"If you have Triton installed, connect this for ~30% speed increase",未找到,,,"https://www.bing.com/search?q=site:huggingface.co+%22If+you+have+Triton+installed,+connect+this+for+~30%+speed+increase%22"
17,61,Note,"If you have working Triton install, torch compile will reduce VRAM use and increase speed about 30%",未找到,,,"https://www.bing.com/search?q=site:huggingface.co+%22If+you+have+working+Triton+install,+torch+compile+will+reduce+VRAM+use+and+increase+speed+about+30%%22"
18,184,Note,"Input can be nothing for text2vid, a single image for image2vid or any number of frames for video extension",未找到,,,"https://www.bing.com/search?q=site:huggingface.co+%22Input+can+be+nothing+for+text2vid,+a+single+image+for+image2vid+or+any+number+of+frames+for+video+extension%22"
19,54,CheckpointLoaderSimple,Juggernaut_X_RunDiffusion.safetensors,已处理,https://huggingface.co/mojen/Juggernaut_X/resolve/main/Juggernaut_X_RunDiffusion.safetensors,https://hf-mirror.com/mojen/Juggernaut_X/resolve/main/Juggernaut_X_RunDiffusion.safetensors,
20,10,Efficient Loader,LEOSAM HelloWorld 新世界 _ SDXL大模型_v6.0.safetensors,已处理,,,https://www.liblib.art/modelinfo/506c46c91b294710940bd4b183f3ecd7
21,10,Eff. Loader SDXL,LEOSAM HelloWorld 极速版_6.0 Lightning.safetensors,已处理,,,https://www.liblib.art/modelinfo/53f48a775e6f4e17ba475f421dcd08a7
22,4,CheckpointLoaderSimple,LEOSAM's MoonFilm _ 胶片风真实感大模型_2.0.safetensors,已处理,,,https://www.liblib.art/modelinfo/1d38049dd8946fcf72ea5f27cadddbfb
23,105,Note,Make sure the resolution is multiple of 64 pixels and adds up to around 1 megapixel.,已处理,https://huggingface.co/cocktailpeanut/sd35turbo/resolve/main/SD3.5L_Turbo_example_workflow.json,https://hf-mirror.com/cocktailpeanut/sd35turbo/resolve/main/SD3.5L_Turbo_example_workflow.json,
24,134,Note,"No noise added here, only the seed on the first sampler matters",已处理,https://huggingface.co/Kijai/SkyReels-V1-Hunyuan_comfy/resolve/main/skyreels_hunyuan_I2V_native_example_01.json,https://hf-mirror.com/Kijai/SkyReels-V1-Hunyuan_comfy/resolve/main/skyreels_hunyuan_I2V_native_example_01.json,
25,34,Note,Note that Flux dev and schnell do not have any negative prompt so CFG should be set to 1.0. Setting CFG to 1.0 means the negative prompt is ignored.,已处理,https://huggingface.co/black-forest-labs/FLUX.1-dev/discussions/256,https://hf-mirror.com/black-forest-labs/FLUX.1-dev/discussions/256,
26,188,Note,Number of frames to continue from for the next extension,未找到,,,https://www.bing.com/search?q=site:huggingface.co+%22Number+of+frames+to+continue+from+for+the+next+extension%22
27,58,UpscaleModelLoader,OmniSR_X2_DIV2K.safetensors,已处理,https://huggingface.co/Acly/Omni-SR/resolve/main/OmniSR_X2_DIV2K.safetensors,https://hf-mirror.com/Acly/Omni-SR/resolve/main/OmniSR_X2_DIV2K.safetensors,
28,49,IPAdapterUnifiedLoader,PLUS (high strength),已处理,https://huggingface.co/Kwai-Kolors/Kolors-IP-Adapter-Plus,https://hf-mirror.com/Kwai-Kolors/Kolors-IP-Adapter-Plus,
29,76,UpscaleModelLoader,RealESRGAN_x2.pth,已处理,https://huggingface.co/ai-forever/Real-ESRGAN/resolve/main/RealESRGAN_x2.pth,https://hf-mirror.com/ai-forever/Real-ESRGAN/resolve/main/RealESRGAN_x2.pth,
30,1,CheckpointLoaderSimple,RealVisXL_v4_BakedVAE.safetensors,未找到,,,https://www.bing.com/search?q=site:huggingface.co+%22RealVisXL_v4_BakedVAE.safetensors%22
31,130,Note,"Split the process to only do half the steps with cfg, as sampling without is twice as fast and doesn't have huge impact on the results.",未找到,,,"https://www.bing.com/search?q=site:huggingface.co+%22Split+the+process+to+only+do+half+the+steps+with+cfg,+as+sampling+without+is+twice+as+fast+and+doesn't+have+huge+impact+on+the+results.%22"
32,133,Note,This node is used to add the image as extra conditioning,已处理,https://huggingface.co/Kijai/SkyReels-V1-Hunyuan_comfy/resolve/main/skyreels_hunyuan_I2V_native_example_01.json,https://hf-mirror.com/Kijai/SkyReels-V1-Hunyuan_comfy/resolve/main/skyreels_hunyuan_I2V_native_example_01.json,
33,127,Note,To allow compiling with LoRAs,已处理,https://huggingface.co/Kijai/SkyReels-V1-Hunyuan_comfy/resolve/main/skyreels_hunyuan_I2V_native_example_01.json,https://hf-mirror.com/Kijai/SkyReels-V1-Hunyuan_comfy/resolve/main/skyreels_hunyuan_I2V_native_example_01.json,
34,76,WanVideoLoraSelect,UniAnimate-Wan2.1-14B-Lora-12000-fp16.safetensors,已处理,https://huggingface.co/Kijai/WanVideo_comfy/commits/0898d2a5a38ed30361a9804ecbe9e94ad53e4180/UniAnimate-Wan2.1-14B-Lora-12000-fp16.safetensors,https://hf-mirror.com/Kijai/WanVideo_comfy/commits/0898d2a5a38ed30361a9804ecbe9e94ad53e4180/UniAnimate-Wan2.1-14B-Lora-12000-fp16.safetensors,
35,71,Note,"Use sageattention if you can, flash attention if you can't... last resort use sdpa",未找到,,,"https://www.bing.com/search?q=site:huggingface.co+%22Use+sageattention+if+you+can,+flash+attention+if+you+can't...+last+resort+use+sdpa%22"
36,22,WanVideoModelLoader,Wan2_1-FLF2V-14B-720P_fp16.safetensors,已处理,https://huggingface.co/Kijai/WanVideo_comfy/resolve/431c404152d2f589da0326f6b86063f62a6b155c/Wan2_1-FLF2V-14B-720P_fp16.safetensors,https://hf-mirror.com/Kijai/WanVideo_comfy/resolve/431c404152d2f589da0326f6b86063f62a6b155c/Wan2_1-FLF2V-14B-720P_fp16.safetensors,
37,22,WanVideoModelLoader,Wan2_1-SkyReels-V2-DF-14B-540P_fp8_e4m3fn.safetensors,已处理,https://huggingface.co/Kijai/WanVideo_comfy/resolve/main/Skyreels/Wan2_1-SkyReels-V2-DF-14B-540P_fp8_e4m3fn.safetensors,https://hf-mirror.com/Kijai/WanVideo_comfy/resolve/main/Skyreels/Wan2_1-SkyReels-V2-DF-14B-540P_fp8_e4m3fn.safetensors,
38,112,WanVideoModelLoader,Wan2_1-T2V-1_3B_fp8_e4m3fn.safetensors,已处理,https://huggingface.co/Kijai/WanVideo_comfy/resolve/431c404152d2f589da0326f6b86063f62a6b155c/Wan2_1-T2V-1_3B_fp8_e4m3fn.safetensors,https://hf-mirror.com/Kijai/WanVideo_comfy/resolve/431c404152d2f589da0326f6b86063f62a6b155c/Wan2_1-T2V-1_3B_fp8_e4m3fn.safetensors,
39,22,WanVideoModelLoader,Wan2_1-Wan2_1-Fun-V1_1-14B-Control-Camera_fp8_e4m3fn.safetensors,未找到,,,https://www.bing.com/search?q=site:huggingface.co+%22Wan2_1-Wan2_1-Fun-V1_1-14B-Control-Camera_fp8_e4m3fn.safetensors%22
40,22,WanVideoModelLoader,Wan2_1_SkyreelsA2_fp8_e4m3fn.safetensors,已处理,https://huggingface.co/Kijai/WanVideo_comfy/resolve/134ff46c7e03736a91bccd3ecef782bf4d3af132/Skyreels/Wan2_1_SkyreelsA2_fp8_e4m3fn.safetensors,https://hf-mirror.com/Kijai/WanVideo_comfy/resolve/134ff46c7e03736a91bccd3ecef782bf4d3af132/Skyreels/Wan2_1_SkyreelsA2_fp8_e4m3fn.safetensors,
41,38,WanVideoVAELoader,Wan2_1_VAE_bf16.safetensors,已处理,https://huggingface.co/Kijai/WanVideo_comfy/resolve/134ff46c7e03736a91bccd3ecef782bf4d3af132/Wan2_1_VAE_bf16.safetensors,https://hf-mirror.com/Kijai/WanVideo_comfy/resolve/134ff46c7e03736a91bccd3ecef782bf4d3af132/Wan2_1_VAE_bf16.safetensors,
42,29,Note,"While the WanVideo 1.3B model is in FP32, the VACE module in it is in BF16, so using fp16_fast is technically lossy, but seems to be fine if you want the speed boost.",未找到,,,"https://www.bing.com/search?q=site:huggingface.co+%22While+the+WanVideo+1.3B+model+is+in+FP32,+the+VACE+module+in+it+is+in+BF16,+so+using+fp16_fast+is+technically+lossy,+but+seems+to+be+fine+if+you+want+the+speed+boost.%22"
43,98,LoraLoader,add-detail-xl.safetensors,已处理,https://huggingface.co/PvDeep/Add-Detail-XL/resolve/main/add-detail-xl.safetensors,https://hf-mirror.com/PvDeep/Add-Detail-XL/resolve/main/add-detail-xl.safetensors,
44,3,VAELoader,ae.safetensors,已处理,https://huggingface.co/black-forest-labs/FLUX.1-schnell/resolve/main/ae.safetensors,https://hf-mirror.com/black-forest-labs/FLUX.1-schnell/resolve/main/ae.safetensors,
45,13,VAELoader,ae.sft,已处理,https://huggingface.co/black-forest-labs/FLUX.1-schnell/resolve/main/ae.safetensors,https://hf-mirror.com/black-forest-labs/FLUX.1-schnell/resolve/main/ae.safetensors,
46,35,FluxLoraLoader,anime_lora.safetensors,已处理,https://huggingface.co/XLabs-AI/flux-lora-collection/resolve/main/anime_lora.safetensors,https://hf-mirror.com/XLabs-AI/flux-lora-collection/resolve/main/anime_lora.safetensors,
47,69,Note,"block swap is a manual way to do cpu offloading, use this to trade speed with memory use",未找到,,,"https://www.bing.com/search?q=site:huggingface.co+%22block+swap+is+a+manual+way+to+do+cpu+offloading,+use+this+to+trade+speed+with+memory+use%22"
48,14,MZ_ChatGLM3Loader,chatglm3-8bit.safetensors,已处理,https://huggingface.co/Kijai/ChatGLM3-safetensors/tree/main,https://hf-mirror.com/Kijai/ChatGLM3-safetensors/tree/main,
49,11,TripleCLIPLoader,clip_g.safetensors,已处理,https://huggingface.co/comfyanonymous/clip_vision_g/resolve/main/clip_vision_g.safetensors,https://hf-mirror.com/comfyanonymous/clip_vision_g/resolve/main/clip_vision_g.safetensors,
50,11,TripleCLIPLoader,clip_g_sdxl_base.safetensors,已处理,https://huggingface.co/stabilityai/stable-diffusion-xl-base-1.0/resolve/main/sd_xl_base_1.0.safetensors,https://hf-mirror.com/stabilityai/stable-diffusion-xl-base-1.0/resolve/main/sd_xl_base_1.0.safetensors,
51,16,DualCLIPLoader,clip_l.safetensors,已处理,https://huggingface.co/comfyanonymous/flux_text_encoders/resolve/main/clip_l.safetensors,https://hf-mirror.com/comfyanonymous/flux_text_encoders/resolve/main/clip_l.safetensors,
52,59,CLIPVisionLoader,clip_vision_vit_h.safetensors,已处理,https://huggingface.co/lllyasviel/misc/resolve/main/clip_vision_vit_h.safetensors,https://hf-mirror.com/lllyasviel/misc/resolve/main/clip_vision_vit_h.safetensors,
53,68,HyVideoLoraSelect,closeupface-v1.1.safetensors,已处理,https://huggingface.co/docs/safetensors/en/index,https://hf-mirror.com/docs/safetensors/en/index,
54,16,ControlNetLoader,control_v11e_sd15_ip2p_fp16.safetensors,已处理,https://huggingface.co/lllyasviel/control_v11e_sd15_ip2p,https://hf-mirror.com/lllyasviel/control_v11e_sd15_ip2p,
55,135,ControlNetLoader,control_v11f1e_sd15_tile.pth,已处理,https://huggingface.co/lllyasviel/ControlNet-v1-1/resolve/main/control_v11f1e_sd15_tile.pth,https://hf-mirror.com/lllyasviel/ControlNet-v1-1/resolve/main/control_v11f1e_sd15_tile.pth,
56,18,ControlNetLoader,control_v11p_sd15_lineart_fp16.safetensors,已处理,https://huggingface.co/JCTN/models/resolve/main/control_v11p_sd15_lineart_fp16.safetensors,https://hf-mirror.com/JCTN/models/resolve/main/control_v11p_sd15_lineart_fp16.safetensors,
57,40,ControlNetLoader,control_v11p_sd15_openpose.pth,已处理,https://huggingface.co/lllyasviel/ControlNet-v1-1/resolve/main/control_v11p_sd15_openpose.pth,https://hf-mirror.com/lllyasviel/ControlNet-v1-1/resolve/main/control_v11p_sd15_openpose.pth,
58,39,VAELoader,cosmos_cv8x8x8_1.0.safetensors,已处理,https://huggingface.co/comfyanonymous/cosmos_1.0_text_encoder_and_VAE_ComfyUI/resolve/main/vae/cosmos_cv8x8x8_1.0.safetensors,https://hf-mirror.com/comfyanonymous/cosmos_1.0_text_encoder_and_VAE_ComfyUI/resolve/main/vae/cosmos_cv8x8x8_1.0.safetensors,
59,16,FitDiTLoader,cuda,已处理,https://huggingface.co/blog/zh/quanto-introduction,https://hf-mirror.com/blog/zh/quanto-introduction,
60,68,DepthAnythingPreprocessor,depth_anything_vitl14.pth,已处理,https://huggingface.co/spaces/LiheYoung/Depth-Anything/resolve/main/checkpoints/depth_anything_vitl14.pth,https://hf-mirror.com/spaces/LiheYoung/Depth-Anything/resolve/main/checkpoints/depth_anything_vitl14.pth,
61,25,VAELoader,diffusion_pytorch_model.fp16.safetensors,已处理,https://huggingface.co/latent-consistency/lcm-sdxl/resolve/main/diffusion_pytorch_model.fp16.safetensors,https://hf-mirror.com/latent-consistency/lcm-sdxl/resolve/main/diffusion_pytorch_model.fp16.safetensors,
62,22,BrushNetLoader,diffusion_pytorch_model.safetensors,已处理,https://huggingface.co/stabilityai/sdxl-vae/resolve/main/diffusion_pytorch_model.safetensors,https://hf-mirror.com/stabilityai/sdxl-vae/resolve/main/diffusion_pytorch_model.safetensors,
63,42,ControlNetLoader,diffusion_pytorch_model_promax.safetensors,已处理,https://huggingface.co/stabilityai/sdxl-vae/resolve/main/diffusion_pytorch_model.safetensors,https://hf-mirror.com/stabilityai/sdxl-vae/resolve/main/diffusion_pytorch_model.safetensors,
64,12,Efficient Loader,dreamshaper_8_v8.safetensors,已处理,https://huggingface.co/Lykon/dreamshaper-8,https://hf-mirror.com/Lykon/dreamshaper-8,
65,22,LoraLoaderModelOnly,dunhuang_敦煌仙女_飞天3.0_v1.0.safetensors,未找到,,,https://www.bing.com/search?q=site:liblib.art+%22dunhuang_敦煌仙女_飞天3.0_v1.0.safetensors%22
66,19,UltralyticsDetectorProvider,face_yolov8m.pt,已处理,https://huggingface.co/Bingsu/adetailer/resolve/main/face_yolov8m.pt,https://hf-mirror.com/Bingsu/adetailer/resolve/main/face_yolov8m.pt,
67,68,FantasyTalkingModelLoader,fantasytalking_fp16.safetensors,已处理,https://huggingface.co/Kijai/WanVideo_comfy/tree/359e18d203460f2cc8c58cb57c65136d21d8e9a7,https://hf-mirror.com/Kijai/WanVideo_comfy/tree/359e18d203460f2cc8c58cb57c65136d21d8e9a7,
68,32,LoadFluxIPAdapter,flux-ip-adapter.safetensors,已处理,https://huggingface.co/XLabs-AI/flux-ip-adapter,https://hf-mirror.com/XLabs-AI/flux-ip-adapter,
69,12,UNETLoader,flux1-depth-dev.safetensors,已处理,https://huggingface.co/black-forest-labs/FLUX.1-Depth-dev,https://hf-mirror.com/black-forest-labs/FLUX.1-Depth-dev,
70,380,CheckpointLoaderSimple,flux1-dev-fp8.safetensors,已处理,https://huggingface.co/Comfy-Org/flux1-dev/resolve/main/flux1-dev-fp8.safetensors,https://hf-mirror.com/Comfy-Org/flux1-dev/resolve/main/flux1-dev-fp8.safetensors,
71,15,UNETLoader,flux1-fill-dev.safetensors,已处理,https://huggingface.co/camenduru/FLUX.1-dev/resolve/main/flux1-fill-dev.safetensors,https://hf-mirror.com/camenduru/FLUX.1-dev/resolve/main/flux1-fill-dev.safetensors,
72,11,StyleModelLoader,flux1-redux-dev.safetensors,已处理,https://huggingface.co/black-forest-labs/FLUX.1-Redux-dev,https://hf-mirror.com/black-forest-labs/FLUX.1-Redux-dev,
73,136,FluxTrainModelSelect,flux1_devFP8Kijai11GB.safetensors,已处理,https://huggingface.co/Kijai/flux-fp8,https://hf-mirror.com/Kijai/flux-fp8,
74,10,LoraLoaderModelOnly,flux_turbo_alpha.safetensors,已处理,https://huggingface.co/alimama-creative/FLUX.1-Turbo-Alpha,https://hf-mirror.com/alimama-creative/FLUX.1-Turbo-Alpha,
75,55,INPAINT_LoadFooocusInpaint,fooocus_inpaint_head.pth,已处理,https://huggingface.co/lllyasviel/fooocus_inpaint/resolve/main/fooocus_inpaint_head.pth,https://hf-mirror.com/lllyasviel/fooocus_inpaint/resolve/main/fooocus_inpaint_head.pth,
76,48,DownloadAndLoadGIMMVFIModel,gimmvfi_f_arb_lpips_fp32.safetensors,已处理,https://huggingface.co/Kijai/GIMM-VFI_safetensors/resolve/main/gimmvfi_f_arb_lpips_fp32.safetensors,https://hf-mirror.com/Kijai/GIMM-VFI_safetensors/resolve/main/gimmvfi_f_arb_lpips_fp32.safetensors,
77,111,DownloadAndLoadGIMMVFIModel,gimmvfi_r_arb_lpips_fp32.safetensors,已处理,https://huggingface.co/Kijai/GIMM-VFI_safetensors/resolve/main/gimmvfi_r_arb_lpips_fp32.safetensors,https://hf-mirror.com/Kijai/GIMM-VFI_safetensors/resolve/main/gimmvfi_r_arb_lpips_fp32.safetensors,
78,384,UltralyticsDetectorProvider,hand_yolov8s.pt,已处理,https://huggingface.co/Bingsu/adetailer/resolve/main/hand_yolov8s.pt,https://hf-mirror.com/Bingsu/adetailer/resolve/main/hand_yolov8s.pt,
79,266,Note,height must be multiple of 64,已处理,https://huggingface.co/adamo1139/stable-diffusion-3-medium-ungated/resolve/main/comfy_example_workflows/sd3_medium_example_workflow_basic.json,https://hf-mirror.com/adamo1139/stable-diffusion-3-medium-ungated/resolve/main/comfy_example_workflows/sd3_medium_example_workflow_basic.json,
80,1,HyVideoModelLoader,hunyuan_video_720_cfgdistill_fp8_e4m3fn.safetensors,已处理,https://huggingface.co/Kijai/HunyuanVideo_comfy/resolve/main/hunyuan_video_720_cfgdistill_fp8_e4m3fn.safetensors,https://hf-mirror.com/Kijai/HunyuanVideo_comfy/resolve/main/hunyuan_video_720_cfgdistill_fp8_e4m3fn.safetensors,
81,4,UNETLoader,hunyuan_video_image_to_video_720p_bf16.safetensors,已处理,https://huggingface.co/datasets/stablediffusiontutorials/HunyuanVideo-Workflows/resolve/main/HunyuanVideo_image_to_videoV1.json,https://hf-mirror.com/datasets/stablediffusiontutorials/HunyuanVideo-Workflows/resolve/main/HunyuanVideo_image_to_videoV1.json,
82,12,UNETLoader,hunyuan_video_t2v_720p_bf16.safetensors,已处理,https://huggingface.co/calcuis/hyvid/resolve/main/hunyuan_video_t2v_720p_bf16.safetensors,https://hf-mirror.com/calcuis/hyvid/resolve/main/hunyuan_video_t2v_720p_bf16.safetensors,
83,10,VAELoader,hunyuan_video_vae_bf16.safetensors,已处理,https://huggingface.co/calcuis/hunyuan-gguf/resolve/main/hunyuan_video_vae_bf16.safetensors,https://hf-mirror.com/calcuis/hunyuan-gguf/resolve/main/hunyuan_video_vae_bf16.safetensors,
84,56,HyVideoLoraSelect,hyvideo_FastVideo_LoRA-fp8.safetensors,已处理,https://huggingface.co/Kijai/HunyuanVideo_comfy/resolve/main/hyvideo_FastVideo_LoRA-fp8.safetensors,https://hf-mirror.com/Kijai/HunyuanVideo_comfy/resolve/main/hyvideo_FastVideo_LoRA-fp8.safetensors,
85,10,LoadAndApplyICLightUnet,iclight_sd15_fc.safetensors,已处理,https://huggingface.co/lllyasviel/ic-light/resolve/main/iclight_sd15_fc.safetensors,https://hf-mirror.com/lllyasviel/ic-light/resolve/main/iclight_sd15_fc.safetensors,
86,41,HyVideoLoraSelect,img2vid.safetensors,已处理,https://huggingface.co/stabilityai/stable-video-diffusion-img2vid/resolve/main/svd.safetensors,https://hf-mirror.com/stabilityai/stable-video-diffusion-img2vid/resolve/main/svd.safetensors,
87,19,InstantIDModelLoader,ip-adapter.bin,已处理,https://huggingface.co/h94/IP-Adapter,https://hf-mirror.com/h94/IP-Adapter,
88,22,PulidModelLoader,ip-adapter_pulid_sdxl_fp16.safetensors,已处理,https://huggingface.co/huchenlei/ipadapter_pulid/resolve/main/ip-adapter_pulid_sdxl_fp16.safetensors,https://hf-mirror.com/huchenlei/ipadapter_pulid/resolve/main/ip-adapter_pulid_sdxl_fp16.safetensors,
89,99,MZ_IPAdapterModelLoaderKolors,ip_adapter_plus_general.bin,已处理,https://huggingface.co/Kwai-Kolors/Kolors-IP-Adapter-Plus/commit/9730bef52ea97549ce65f72b1d3abb5ec0ad3e8d,https://hf-mirror.com/Kwai-Kolors/Kolors-IP-Adapter-Plus/commit/9730bef52ea97549ce65f72b1d3abb5ec0ad3e8d,
90,334,CheckpointLoaderSimple,juggernautXL_v9Rdphoto2Lightning.safetensors,已处理,https://huggingface.co/AiWise/Juggernaut-XL-V9-GE-RDPhoto2-Lightning_4S/resolve/main/juggernautXL_v9Rdphoto2Lightning.safetensors,https://hf-mirror.com/AiWise/Juggernaut-XL-V9-GE-RDPhoto2-Lightning_4S/resolve/main/juggernautXL_v9Rdphoto2Lightning.safetensors,
91,67,CheckpointLoaderSimple,juggerxlInpaint_juggerInpaintV8.safetensors,已处理,https://huggingface.co/crj/dl-ws/resolve/main/juggerxlInpaint_juggerInpaintV8.safetensors,https://hf-mirror.com/crj/dl-ws/resolve/main/juggerxlInpaint_juggerInpaintV8.safetensors,
92,15,Yoloworld_ModelLoader_Zho,l,已处理,https://huggingface.co/,https://hf-mirror.com/,
93,1,Efficient Loader,leosamsHelloworldXL_helloworldXL70.safetensors,已处理,https://huggingface.co/misri/leosamsHelloworldXL_helloworldXL70/tree/main,https://hf-mirror.com/misri/leosamsHelloworldXL_helloworldXL70/tree/main,
94,6,DualCLIPLoader,llava_llama3_fp8_scaled.safetensors,已处理,https://huggingface.co/calcuis/hunyuan-gguf/resolve/main/llava_llama3_fp8_scaled.safetensors,https://hf-mirror.com/calcuis/hunyuan-gguf/resolve/main/llava_llama3_fp8_scaled.safetensors,
95,25,CLIPVisionLoader,llava_llama3_vision.safetensors,已处理,https://huggingface.co/calcuis/hunyuan-gguf/resolve/main/llava_llama3_fp8_scaled.safetensors,https://hf-mirror.com/calcuis/hunyuan-gguf/resolve/main/llava_llama3_fp8_scaled.safetensors,
96,25,CheckpointLoaderSimple,majicmixRealistic_v7.safetensors,已处理,https://huggingface.co/digiplay/majicMIX_realistic_v7/resolve/main/majicmixRealistic_v7.safetensors,https://hf-mirror.com/digiplay/majicMIX_realistic_v7/resolve/main/majicmixRealistic_v7.safetensors,
97,114,ADE_AnimateDiffLoaderWithContext,mm_sd_v15_v2.ckpt,已处理,https://huggingface.co/guoyww/animatediff/resolve/main/mm_sd_v15_v2.ckpt,https://hf-mirror.com/guoyww/animatediff/resolve/main/mm_sd_v15_v2.ckpt,
98,16,UNETLoader,mochi_preview_bf16.safetensors,已处理,https://huggingface.co/Kijai/Mochi_preview_comfy/resolve/main/mochi_preview_vae_decoder_bf16.safetensors,https://hf-mirror.com/Kijai/Mochi_preview_comfy/resolve/main/mochi_preview_vae_decoder_bf16.safetensors,
99,4,DownloadAndLoadMochiModel,mochi_preview_dit_bf16.safetensors,已处理,https://huggingface.co/camenduru/google_t5_v1.1/resolve/main/mochi_preview_dit_bf16.safetensors,https://hf-mirror.com/camenduru/google_t5_v1.1/resolve/main/mochi_preview_dit_bf16.safetensors,
100,4,CheckpointLoaderSimple,mochi_preview_fp8_scaled.safetensors,已处理,https://huggingface.co/licyk/comfyui-extension-models/resolve/main/mochi/mochi_preview_fp8_scaled.safetensors,https://hf-mirror.com/licyk/comfyui-extension-models/resolve/main/mochi/mochi_preview_fp8_scaled.safetensors,
101,27,MochiVAEEncoderLoader,mochi_preview_vae_encoder_bf16_.safetensors,已处理,https://huggingface.co/Kijai/Mochi_preview_comfy/resolve/main/mochi_preview_vae_decoder_bf16.safetensors,https://hf-mirror.com/Kijai/Mochi_preview_comfy/resolve/main/mochi_preview_vae_decoder_bf16.safetensors,
102,24,VAELoader,mochi_vae.safetensors,已处理,https://huggingface.co/Kijai/Mochi_preview_comfy/resolve/main/mochi_preview_vae_decoder_bf16.safetensors,https://hf-mirror.com/Kijai/Mochi_preview_comfy/resolve/main/mochi_preview_vae_decoder_bf16.safetensors,
103,18,PowerPaintCLIPLoader,model.fp16.safetensors,已处理,https://huggingface.co/ashawkey/LGM/resolve/main/model_fp16.safetensors,https://hf-mirror.com/ashawkey/LGM/resolve/main/model_fp16.safetensors,
